campaign_family,ad_group_theme,seed_keyword,keyword_candidate,source,normalized_keyword,tier_status,intent_score,local_intent_score,commercial_intent_score,relevance_score,adjusted_relevance_score,source_trust_multiplier,negative_risk_score,landing_page_fit_score,source_validation_score,breadth_score,ambiguity_risk_score,recommended_match_type,status_recommendation,notes
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Auto Mobile | mobile mechanic | Sittingbourne,organic_title,auto mobile mobile mechanic sittingbourne,review_high_priority,24,25,24,10,7,0.7,0,14,0,92,60,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Best mercedes diagnostics near me,related_searches,best mercedes diagnostics near me,review_high_priority,40,25,48,90,90,1.0,26,56,0,74,24,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Best van diagnostics near me,related_searches,best van diagnostics near me,review_high_priority,40,25,48,90,90,1.0,26,56,0,74,24,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Book a Car Diagnostic for your Mercedes,organic_title,book a car diagnostic for your mercedes,review_high_priority,16,0,24,35,24,0.7,0,42,0,100,56,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Book a Car Diagnostic in Ashford,organic_title,book a car diagnostic in ashford,review_high_priority,8,0,12,10,7,0.7,0,14,0,100,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Book a Car Diagnostic in Maidstone,organic_title,book a car diagnostic in maidstone,review_high_priority,17,25,12,10,7,0.7,0,14,0,100,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Can Halfords do a diagnostic check?,paa,can halfords do a diagnostic check,review_high_priority,16,0,24,20,10,0.5,0,42,0,96,48,phrase,review,PAA / related question; review or use as negative/FAQ only.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Can I take my Mercedes anywhere for a service?,paa,can i take my mercedes anywhere for a service,review_high_priority,16,0,24,25,12,0.5,32,14,0,100,36,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Cheap van diagnostics near me,related_searches,cheap van diagnostics near me,review_high_priority,40,25,48,90,90,1.0,18,56,0,74,24,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,cheap vehicle diagnostics near me,autocomplete,cheap vehicle diagnostics near me,review_high_priority,32,25,36,65,65,1.0,18,42,0,80,36,phrase,review,Elevated risk or weak fit; manual review suggested.
